dapil,partai,nama,pasangan
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,H. YUSRI HAMZAH,ROSITA YUSUF
aceh-besar,PARTAI GERAKAN PERUBAHAN INDONESIA,"NAZARULLAH, S.Kom","MIA EFRINA, SE"
aceh-besar,PARTAI GOLONGAN KARYA,SYUKRI RAHMAT,MARLINA
aceh-besar,PARTAI GOLONGAN KARYA,TEUKU JULIANSYAH D,CUT EVA SARI
aceh-besar,PARTAI GOLONGAN KARYA,"CUT YENI MUSTIKA, SE",WAHYU ZULFANSYAH
aceh-besar,PARTAI GOLONGAN KARYA,"ANSARI MUHAMMAD, S.Pt, M.Si",Ns.Erlinawati
aceh-besar,PARTAI GOLONGAN KARYA,A. HAEQAL ASRI,CUT MIQYA DERMAWAN
aceh-besar,PARTAI GOLONGAN KARYA,"DEWI HERAFIANA, SE","SYUKRIANTO, S.SOS. M.Si"
aceh-besar,PARTAI GOLONGAN KARYA,AFDHAL KHALILULAH,Desi Maulidar
aceh-besar,PARTAI GOLONGAN KARYA,"AMMAR FUAD, S.E, M.M","AZNITA ZAHARA, S.E"
aceh-besar,PARTAI GOLONGAN KARYA,AGUSNIAR,T.FIRDAUS AKBAR
aceh-besar,PARTAI GOLONGAN KARYA,Z. KARMIDI,SITI RAHMAH
aceh-besar,PARTAI GOLONGAN KARYA,"RABIATUL IQLIMA, S.Psi","Fuadi, SE"
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"INDRA PURI NYAK CUT, SE",CUT HUSNA
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"LINDA FITRIANA, SE",T. Syaifullah
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"SYAMSUL BAHRI, S.Pt",NURMALAWATI
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,SITI ZUHRA,ZYAN NOFRIANDA
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,KHAIRUL RIZA,NAILUL AUTHARY
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"RISMAYANI, SE",JOHNNY ANTONIO AHMADY
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,TAJUDDIN,HINDUN
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,"NURUL NAQIA, S.K.M",SULAIMAN
aceh-besar,PARTAI KEADILAN DAN PERSATUAN INDONESIA,BILAL REKHFA PAHLEVIE,VIDIA PURNAMASARI
aceh-besar,PARTAI KEBANGKITAN BANGSA,"AMRIZAL, S.HI",EKA MISRINA
aceh-besar,PARTAI KEBANGKITAN BANGSA,"BAHARUDDIN, S.SOS",CUT AZIZAH
aceh-besar,PARTAI KEBANGKITAN BANGSA,"DYNA SOFYA, SH",ZUL AZMI
aceh-besar,PARTAI KEBANGKITAN BANGSA,"RUSMADI USMAN, S.Sos",LISMAWATI
aceh-besar,PARTAI KEBANGKITAN BANGSA,ADNAN AMIN,HALIMAH
aceh-besar,PARTAI KEBANGKITAN BANGSA,"SITI MURNI, S.Hi, MH",ABDUL HALIM
aceh-besar,PARTAI KEBANGKITAN BANGSA,"MUNZAHRI, A. Ma",ISNAYATI
aceh-besar,PARTAI KEBANGKITAN BANGSA,NORASYIDAH,MAKHRUZAR. AH
aceh-besar,PARTAI KEBANGKITAN BANGSA,"SUZANNA WATI, SE",MUHAMMAD ROYANI
aceh-besar,PARTAI KEBANGKITAN BANGSA,"ERNI OKTARI, S.H",MULYADI
aceh-besar,PARTAI NANGGROE ACEH,TARMIZI,CUT AULIA MAKHSUM
aceh-besar,PARTAI NASDEM,"TEUKU IRWAN DJOHAN, ST","Cut Novita, ST"
aceh-besar,PARTAI NASDEM,"Ir. H. MUSA BINTANG, MM",Megawati
aceh-besar,PARTAI NASDEM,HJ. DJUSIAH DJAMARAN,H. Ahmad Baryir
aceh-besar,PARTAI NASDEM,"FADHLI ALI, SE","dr. Iik Sumarni, Sp.OG"
aceh-besar,PARTAI NASDEM,"Drs. H.. MARZUKI ABDULLAH, .MM",Zuriani Us
aceh-besar,PARTAI NASDEM,"KOMBES POL (Purn). H.M. HARUN HASYIM, SE, MH",Okta Susana
aceh-besar,PARTAI NASDEM,Dra. Hj. KESUMA NIRWANA,Drs. H. Armya Idris
aceh-besar,PARTAI NASDEM,"JAFAR SIDDIK, S.Ag. M.M",CUT REGINA
aceh-besar,PARTAI NASDEM,"ROSNIDARWATI, S.Ag., M.A","ALFIAN, S.T"
aceh-besar,PARTAI SIRA,MUSTAFA,MAIMUNAH
aceh-besar,PARTAI SIRA,"MARDALI, SE.Ak",ERNIWATI
aceh-besar,PARTAI SIRA,ANI MUZIANI,MUNIR AB
aceh-besar,PARTAI SIRA,MUNAWAR,ERLINA HUSNA
aceh-besar,PARTAI SIRA,MAULIZA,ERFINAWATI
aceh-besar,PARTAI SIRA,"MUHAMMAD, S.Pd",Khatijah
aceh-besar,PARTAI SOLIDARITAS INDONESIA,KASDIANA,NURMALA
aceh-besar,PARTAI SOLIDARITAS INDONESIA,"NOVITA INDRIANI, S.Pd",ayub
aceh-besar,PERSATUAN INDONESIA,"M PAISAL AK PUTEH, SE",Hj Nurdiani
aceh-besar,PERSATUAN INDONESIA,"SYARIFUDDIN AHMAD LUBIS, A.Md",Marinda
aceh-besar,PERSATUAN INDONESIA,"MARINDA, SE","SYARIFUDIN AHMAD LUBIS, SE"
aceh-besar,PERSATUAN INDONESIA,"DIKY JULIANDI, ST",annisa sri agustina
aceh-besar,PERSATUAN INDONESIA,"ARIEF SETIADI, SE",wahyuni
aceh-besar,PARTAI AMANAT NASIONAL,"H. MUSLIM AYUB, S.H., M.M.",Wilda Liana
aceh-besar,PARTAI AMANAT NASIONAL,"MOHD ALFATAH, S.Ag","Siti Khadijah, S. Ag"
aceh-besar,PARTAI AMANAT NASIONAL,"ZAKIYAH DRAZAT, S. Tr. Keb",Firdaus D. Nyak Idin
aceh-besar,PARTAI AMANAT NASIONAL,H. NAZARUDDIN DEK GAM,dr. Hjr. Rina Mayasari
aceh-besar,PARTAI AMANAT NASIONAL,SULAIMAN ALI,Khuratan Aina
aceh-besar,PARTAI BERKARYA,"IRA HADIATI, SH",Ir. Rusli Latief
aceh-besar,PARTAI BERKARYA,"H. JUNAIDI, SE","HJ. RITA ZAHARA, S. SOS"
aceh-besar,PARTAI BERKARYA,SUMIATI,0
aceh-besar,PARTAI BERKARYA,DASLELIATI,Teuku Syarifudin
aceh-besar,PARTAI BERKARYA,"H. SAYED FUAD ZAKARIA, SE",ARJUWITA
aceh-besar,PARTAI BULAN BINTANG,Dr. (H.C.) Tgk. MUHAMMAD YUS,ASLAWATI
aceh-besar,PARTAI BULAN BINTANG,"SALAWATI DAHLAN MS, SE",ANSORI
aceh-besar,PARTAI BULAN BINTANG,DRS. H.MISWAR SULAIMAN,NONE
aceh-besar,PARTAI BULAN BINTANG,"MARDIANA, S.SOS. I",ADNAN
aceh-besar,PARTAI DEMOKRASI INDONESIA PERJUANGAN,H. KARIMUN USMAN,Hj. SITI NURMA ROYANA
aceh-besar,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"MUSLAHUDDIN DAUD, S.Ag",SETIA DANI
aceh-besar,PARTAI DEMOKRASI INDONESIA PERJUANGAN,NASRAN AB,"SUERNI, SE"
aceh-besar,PARTAI DEMOKRAT,"RAHMIATI, SE.Ak",RIZKY MAHYUDDIN
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,"FADHLULLAH, SE",MUKARRAMAH
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,"Dr. ASFIFUDDIN, SH, MH",IBU
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,Dra. HJ. ZULHAFAH,"ALM. DR. H. LUTHFI HELMI, SP.P, FCCP"
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,AINAL MARDHIAH,HAMZAH
aceh-besar,PARTAI GERAKAN INDONESIA RAYA,CUT MEUTIA ADRINA,"Dr. Nurhadi Ibrahim, Phd"
aceh-besar,PARTAI GOLONGAN KARYA,ANDI HS,MAZIYATI FARISTIANI
aceh-besar,PARTAI GOLONGAN KARYA,CUT SRI MAINITA,BOY HERIYANTO
aceh-besar,PARTAI GOLONGAN KARYA,"Drs. H. SULAIMAN ABDA, M.Si",MUSTIKA HAYATI
aceh-besar,PARTAI GOLONGAN KARYA,Drs. H.T. ZULKARNAINI,"HJ. KELIMAH, S,SOS"
aceh-besar,PARTAI KEADILAN SEJAHTERA,GHUFRAN,Irma Suryani
aceh-besar,PARTAI KEADILAN SEJAHTERA,RAFLI,DEWI LISNADIA
aceh-besar,PARTAI KEADILAN SEJAHTERA,"SRI HANUM, SE",Murdani ST
aceh-besar,PARTAI KEADILAN SEJAHTERA,H. MUHAMMAD RIZAL,Rr. Endah Kusumaningtyasari
aceh-besar,PARTAI KEADILAN SEJAHTERA,"ANGGARDA PARAMITA, S.Pd","Roni Yuanda Syahputra, A.Md"
aceh-besar,PARTAI KEADILAN SEJAHTERA,"DEVI ARIANI, S.SOS",BUDI SANTOSO
aceh-besar,PARTAI KEBANGKITAN BANGSA,"H. IRMAWAN, S.Sos, MM",ELIS DEWI
aceh-besar,PARTAI KEBANGKITAN BANGSA,SAYED MUSTAFA USAB AL IDROES,ELLY SUSILAWATI
aceh-besar,PARTAI KEBANGKITAN BANGSA,T. NASRUDDIN,nurlaila
aceh-besar,PARTAI KEBANGKITAN BANGSA,KHAIRULLAH,EKA PURNAMA SARI
aceh-besar,PARTAI KEBANGKITAN BANGSA,"IDAWATI, S.E",JHON TARA
aceh-besar,PARTAI KEBANGKITAN BANGSA,"SUHARNI BUSTAMI, S.Pd",jafaruddin
aceh-besar,PARTAI NASDEM,"H ZAINI DJALIL, SH","Hj Lindawati, Spd"
aceh-besar,PARTAI NASDEM,"TGK. ANWAR, S.PD., MM",Maryam Ulfah
aceh-besar,PARTAI NASDEM,"Hj. DRA. MEDIATI HAFNI HANUM, SH,. Mkn","H. Azwir SH, M.Si, Mkn"
aceh-besar,PARTAI NASDEM,"Dra. NURHUSNA RAZALI, M.Pd","Yusra Nyakya, SH"
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,AMRI M ALI,"HJ. Erlinawati, S. Ag"
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,"T ZULFIKAR THAIB ALY, SH",Syarifah Rosnawati
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,"ROSNI IDHAM,SE","Bismi AB, S.Pd"
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,IBNU AQIL,Ita Kausari
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,H. RUSYDI AW,Hj. Anita
aceh-besar,PARTAI PERSATUAN PEMBANGUNAN,ONIE SEPTARINA R,"Ir. Amarullah leman , M.Si"
aceh-besar,PARTAI SOLIDARITAS INDONESIA,"DRS. H ANHARUDDIN, SE, MM",DRA HJ RAHMIATI MM
aceh-besar,PARTAI SOLIDARITAS INDONESIA,YAZIR AKRAMULLAH,Zuriyati
aceh-besar,PARTAI SOLIDARITAS INDONESIA,NURTI SARIANI,NN
aceh-besar,PARTAI SOLIDARITAS INDONESIA,HERLINA,NN
aceh-besar,PARTAI SOLIDARITAS INDONESIA,AHMAD NABIL,MARDIANA
aceh-besar,PARTAI SOLIDARITAS INDONESIA,SAFRAN,Santi Widiastuti
aceh-besar,PERSATUAN INDONESIA,"HAMDANI HAMID, S.P","SILVANA, SE"
aceh-besar,PERSATUAN INDONESIA,"ZULKARNAIN, S.E., M.M",DARSIAH
aceh-besar,PERSATUAN INDONESIA,"EFFRI DANDA, S.E","IIN MIRNA IRWANTINI, SH"
aceh-besar,PERSATUAN INDONESIA,SAMSIR ALI,MENIK YULIANI WINOTO
aceh-besar,PERSATUAN INDONESIA,CITRA LEVIONITA ANDREAN,BANDORO MEGAPUTRA
aceh-tengah,PARTAI AMANAT NASIONAL,SYIRAJUDDIN,RINA AWALIYAH PANJAITAN
aceh-tengah,PARTAI AMANAT NASIONAL,BUSTAMAM ARDY,MARYATI
aceh-tengah,PARTAI AMANAT NASIONAL,WAHYUNI,JULIANTO ARGI
aceh-tengah,PARTAI AMANAT NASIONAL,LAELA HAYATI,RAHMAD PADLI
aceh-tengah,PARTAI AMANAT NASIONAL,FADLI ULFA,TA JIAH
aceh-tengah,PARTAI AMANAT NASIONAL,SYAPARUDDIN,ZAELAWATI
aceh-tengah,PARTAI BERKARYA,RUHAMAN SUHADA,NURAINI
aceh-tengah,PARTAI BULAN BINTANG,IR.. DJUMHUR,Rizkani
aceh-tengah,PARTAI BULAN BINTANG,IR.. M. ALI,"ASMAWATI, BA"
aceh-tengah,PARTAI BULAN BINTANG,MUZAWIRAH,zulkifli idris
aceh-tengah,PARTAI BULAN BINTANG,"MUHAMMAD DARUL, S.P","SUSPARIDAINI, S.Kep"
aceh-tengah,PARTAI BULAN BINTANG,"ASFI NURTILAWAH, A.Md. Keb",RAHMADI
aceh-tengah,PARTAI BULAN BINTANG,BANTASYAM,RASIDAH
aceh-tengah,PARTAI DEMOKRAT,"IR.. ALAIDIN ABU ABBAS, MM.","HJ. NILAWATI, S.PD."
aceh-tengah,PARTAI DEMOKRAT,NIRFAN JAYA,"ERNAWATI, S.PD."
aceh-tengah,PARTAI DEMOKRAT,JURAIDAH,SAPARUDIN
aceh-tengah,PARTAI DEMOKRAT,"FIRMAN YOGA, ST.",dr. EVI NABILA
aceh-tengah,PARTAI DEMOKRAT,MUHAMMAD YASIN,SUSILAWATI
aceh-tengah,PARTAI DEMOKRAT,"SUCI RAHMAWATI, S.Pd.",Sutri Handoko
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"Drs. H. TAUFIK, MM",RAFIQAH
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"BINAKIR, S.K.M",Hj. HALIMAH
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,SRI WAHYULI,EDI KURNIAWAN
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"AMIRUDDIN, SE","MUSFIRAH, M.Pd"
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,CHAIDIR,"ERNI SAFWAR, SP"
aceh-tengah,PARTAI GOLONGAN KARYA,HENDRA BUDIAN,SORAYA H. M. ISA
aceh-tengah,PARTAI GOLONGAN KARYA,DJULIATI,MUDARLIAN
aceh-tengah,PARTAI GOLONGAN KARYA,INDRA GUNAWAN,CHADIJAH BACHRUM
aceh-tengah,PARTAI GOLONGAN KARYA,SASMAYATI,Ir. M. Sarkati
aceh-tengah,PARTAI GOLONGAN KARYA,"ARAMIKO ARITONANG, S.Sos",WULANDARI ASWIRAH S.Pd
aceh-tengah,PARTAI KEBANGKITAN BANGSA,SALIHIN,SARINEM
aceh-tengah,PARTAI KEBANGKITAN BANGSA,"ALAMSYAH MAHMUD GAYO, SH. MM",SARWIANA
aceh-tengah,PARTAI KEBANGKITAN BANGSA,"ROSNAWITA, S.Sos",TEUKU NARENSYAH
aceh-tengah,PARTAI KEBANGKITAN BANGSA,JUSRIADI,KASMAWATI
aceh-tengah,PARTAI NASDEM,RAMADHANA LUBIS,Rahmayani
aceh-tengah,PARTAI NASDEM,DESI ANI,Taufik Rusdi
aceh-tengah,PARTAI NASDEM,"Drs, H.. T. ISLAH, M.Si",Rahmawati
aceh-tengah,PARTAI NASDEM,"AMPERA G, ST, MT",Hanisa Fitri
aceh-tengah,PARTAI SIRA,BUCHARI,NURSIDAH
aceh-tengah,PARTAI SIRA,MUHAMMAD,SUARNI
aceh-tengah,PARTAI SIRA,AFRILIZA AMALIA SIREGAR,SYUKURRULLAH
aceh-tengah,PERSATUAN INDONESIA,MAIDA SARI,AZHARI
aceh-tengah,PARTAI AMANAT NASIONAL,TEUKU HASBULLAH. HD,Dewi Diana Aji
aceh-tengah,PARTAI AMANAT NASIONAL,"Dr. AHMAD FARHAN HAMID, MS","Ir. Ferry Soraya, MSIE"
aceh-tengah,PARTAI AMANAT NASIONAL,"ERMIADI ABDUL RAHMAN, ST","NOVIANITA AR, SKM"
aceh-tengah,PARTAI AMANAT NASIONAL,"ROSNAWATI, S.Pd.I",KHUWALID
aceh-tengah,PARTAI AMANAT NASIONAL,"H. BASRUN YUSUF, SH",Damayanti
aceh-tengah,PARTAI BERKARYA,Drs. TEUKU BUSTAMI UMAR,ERNAWATI. B
aceh-tengah,PARTAI BERKARYA,"Drs. T.A. RAHMAN ALBA, MM","Cut Nurhayati,SE Ak"
aceh-tengah,PARTAI BERKARYA,SUNDARI,T. MELDY SAHPUTRA
aceh-tengah,PARTAI BULAN BINTANG,"AZHARI CAGE, S.IP",TARMIZI HAMZAH
aceh-tengah,PARTAI BULAN BINTANG,"H. A. RIDWAN M DALLAH, SE",HJ. DR. FATIMAH ZURAIDA
aceh-tengah,PARTAI BULAN BINTANG,"ISWADI, M.Pd",SITI AMINAH
aceh-tengah,PARTAI BULAN BINTANG,"PIPIH SOPIAH, SE",ABDULLAH
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Ir. H. TAGORE ABU BAKAR,MEUTIA FAUZIAH
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"HJ. MARIA KARSIA, S.S.",A. TAVIP SYAH
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"GUNTARAYADI, S.P.",EMI SHINTA SITANGGANG
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,HUSAINI MH,DARA ARUNI
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,MUHAMMAD SUFI,Rizwana
aceh-tengah,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"LISNAWATI GINTING, S.H.,M.H.",RIDHO MARIUS BANGUN
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"Ir. H. T. A. KHALID, M.M",CUT AFNI ZAHARA
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,CUT PUTEH,BAPAK
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"FERRY MUNANDAR, ST",IBU
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"Ir. H. NASARUDDIN, MM",Hj. APINI
aceh-tengah,PARTAI GERAKAN INDONESIA RAYA,"SITI NURMASYITHAH, S.Sos",BAPAK
aceh-tengah,PARTAI GOLONGAN KARYA,ILHAM PANGESTU,VENTY ANGRIANI
aceh-tengah,PARTAI GOLONGAN KARYA,DRS. H. MARZUKI DAUD,POCUT OLLY IDAMULINA
aceh-tengah,PARTAI GOLONGAN KARYA,"FIRMANDEZ, S.E., Ak.",ROSMULYATI
aceh-tengah,PARTAI GOLONGAN KARYA,"REDUK NILAWARNI, S.Pd",ZAMHARIR AR
aceh-tengah,PARTAI GOLONGAN KARYA,T. YUSNI,ROSMALINA
aceh-tengah,PARTAI KEADILAN SEJAHTERA,"H. MUHAMMAD NASIR DJAMIL, S. AG.,M. Si",KHASANAH
aceh-tengah,PARTAI KEADILAN SEJAHTERA,"TGK. H. MUHAMMAD NUR, M. Si",dr. Nur Asiah Fitria
aceh-tengah,PARTAI KEADILAN SEJAHTERA,BARMANSYAH,INDI LISTYOWATI
aceh-tengah,PARTAI KEADILAN SEJAHTERA,"M. YUSUF ISMAIL PASE, SH, MH",HJ. MEUTIA AHMAD S.Pd
aceh-tengah,PARTAI KEADILAN SEJAHTERA,"SARI DEWI, SE.Ak",M. Fauzi
aceh-tengah,PARTAI KEBANGKITAN BANGSA,"SAYUTI, SH.MH",YULINDA
aceh-tengah,PARTAI KEBANGKITAN BANGSA,RUSLAN M. DAUD,HJ. FARIDAH BINTI ADAM
aceh-tengah,PARTAI KEBANGKITAN BANGSA,RAHMI ABDI,Ngatimin
aceh-tengah,PARTAI KEBANGKITAN BANGSA,"FAISAL RIDHA, S.Ag., MM",Maitanur binti Mahyiddin
aceh-tengah,PARTAI NASDEM,ZULFAN LINDAN,Nurdjannah
aceh-tengah,PARTAI NASDEM,MUHARUDDIN,Syarifah Rahmah
aceh-tengah,PARTAI NASDEM,FATIMAH ZUHRA,Muhammad Syukri
aceh-tengah,PARTAI NASDEM,EFENDI,Asmaryati
aceh-tengah,PARTAI NASDEM,"DR. IBRAHIM HASYIM SE, MM",Joy Sarabia Ibrahim
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,"H ANWAR IDRIS,DRS",Hj. Rohayanilawati
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,AKMAL HANIF,Putri
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,NURHANITA ZAHARA,"Sudianto, SH"
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,Ir. SYUKUR KOBATH,Iwardatika
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,"JAMALUDIN, SE",Arie Wardiana
aceh-tengah,PARTAI PERSATUAN PEMBANGUNAN,CUT FATNIAH,"Dedi Fariadi,M.Pd"
aceh-tengah,PARTAI SOLIDARITAS INDONESIA,"KAMARUDDIN, SH",RR ILMIA ASTUTI RAHAYU
aceh-tengah,PARTAI SOLIDARITAS INDONESIA,"RAMADLAN, ST, MT",ROSNAWATI AMD KES
aceh-tengah,PARTAI SOLIDARITAS INDONESIA,IKA LESTARI,NN
aceh-tengah,PARTAI SOLIDARITAS INDONESIA,ZAMZAMI,CUT SANTI NORAVITA
aceh-tengah,PERSATUAN INDONESIA,HERMAN KOSASIH,RATNA DEWI
aceh-tengah,PERSATUAN INDONESIA,"HERMAN BAHARI, S.H",SITI AISYAH
aceh-tengah,PERSATUAN INDONESIA,"RAZALI ZAINUDDIN, A.Md.","Idawati, S.Km"
aceh-tengah,PERSATUAN INDONESIA,SIWI ASRI MOPRIRATNA,DONNY APRILIANANDA
aceh-utara,PARTAI AMANAT NASIONAL,ZULHADI,FITRI YANTI
aceh-utara,PARTAI AMANAT NASIONAL,"AIYUB, SH., M.Si","SRI HANDAYANI, SE"
aceh-utara,PARTAI AMANAT NASIONAL,M. SANI ISHAK,YUSDIANA
aceh-utara,PARTAI AMANAT NASIONAL,"SAIFULLAH, S.Sos",SARDANIAH
aceh-utara,PARTAI AMANAT NASIONAL,MAULIANA,AHYAR FUADI
aceh-utara,PARTAI AMANAT NASIONAL,MUKSALMINA,NURLINA
aceh-utara,PARTAI AMANAT NASIONAL,"T. ZULFIKAR MAHMUD, ST",dr. RINDA LIANA
aceh-utara,PARTAI AMANAT NASIONAL,"NURSAFNI, A.MK",TARMIZI
aceh-utara,PARTAI AMANAT NASIONAL,SOFYAN PUTEH,MUSRIYANI HASAN
aceh-utara,PARTAI AMANAT NASIONAL,FITRIANI ISHAK,JUNAIDI
aceh-utara,PARTAI AMANAT NASIONAL,FAISAL,FITRIAH
aceh-utara,PARTAI BERKARYA,"ZULFIKAR RASYID, SE",FERAWATI SIMATUPANG
aceh-utara,PARTAI BERKARYA,HASDIANA,T. IVAN MIRZA
aceh-utara,PARTAI BERKARYA,MUHAMMAD NUR,NURLAILA
aceh-utara,PARTAI BERKARYA,MAIMUDDIN ISHAK,YUNIAR. S.Kep
